batch_index,feature,psi,wasserstein,mean_shift,std_ratio,drift_score
8,beta_power,8.236128669224792,0.08760998098900052,0.08757777397613367,0.21365572652087425,9.327542618064994
8,alpha_power,2.7026966686685334,0.03219269467206468,0.031239864825613015,0.3488415366784348,3.2692971855961632
8,delta_power,0.4085795459631977,0.01228173885969737,0.001672515330128438,0.6416910679012156,0.6773626174491845
8,theta_power,0.6629581862756648,0.014089923015117228,0.011110192257066075,0.4399980922228855,1.0474114153595864
8,gamma_power,1.9190283124368364,0.007698051389628217,0.007691256046058487,0.4329567991566334,2.5843724083255086
9,beta_power,5.2351556703150095,0.06353771057591065,0.0632966044545879,0.2684256349463016,6.026685845497069
9,alpha_power,1.4956323313143691,0.023621176256289674,0.019506557189230958,0.4532386022368571,1.9113717036653948
9,delta_power,1.6712252431727985,0.026801027088808632,0.026709627218030232,0.4646875433582899,2.2577596469898347
9,theta_power,1.503917704565552,0.013890317607755179,0.01057087922457993,0.4266842665810449,1.8829245629829612
9,gamma_power,0.5425189801675323,0.005235907307332042,0.004866608521898293,0.5300426230534413,0.9950594786951705
10,beta_power,2.309371893466448,0.04867777361981655,0.04441424344876049,0.28599507236368926,2.9157822650635334
10,alpha_power,1.6084397431177928,0.02253597049418971,0.01639957312248823,0.4245035028587748,2.005079187611203
10,delta_power,1.5237717559803485,0.02424524855425337,0.023319118948087636,0.4722206973752239,2.054373525794723
10,theta_power,0.49641368317932855,0.012575763933872065,0.009008023263068585,0.4631223265048376,0.8395520415214525
10,gamma_power,0.48169686528491146,0.0037252670518270973,0.001689401387838834,0.534586916864806,0.8036724293713271
11,beta_power,4.080827250669662,0.051662964589059945,0.048775066747211715,0.2648733946050793,4.72442606845752
11,alpha_power,1.898501668665071,0.030456370996781345,0.02719734131726785,0.345796349641124,2.43454239859783
11,delta_power,1.6096614320643887,0.02038641868445698,0.017387913864438248,0.4392971746281848,2.0558135847199677
11,theta_power,1.6258059854343432,0.015128457539213835,0.012318297243970391,0.39614944651260314,2.0385963424696163
11,gamma_power,0.32669958275298017,0.003624180547494099,0.0028308600294422726,0.6240842323893963,0.639938220385176
12,beta_power,2.900843723888262,0.04634928498039145,0.042091059250325163,0.3158721454414378,3.478246613094687
12,alpha_power,1.6352369783613612,0.02526833561150104,0.021180571030971998,0.4075273547957773,2.079966820495421
12,delta_power,0.7631436514249239,0.02371692273459181,0.02265354534364178,0.49146310489718836,1.282183130412551
12,theta_power,1.5317128986864366,0.015640945359521333,0.013405048447587442,0.3950906143771544,1.9584868379720888
12,gamma_power,0.3461016997349016,0.003283273862931359,0.0024506891198452403,0.6123177781876502,0.6298757055606119
