batch_index,feature,psi,wasserstein,mean_shift,std_ratio,drift_score
8,beta_power,8.258257022596837,0.08748094635113624,0.08741550333498899,0.21339510703905018,9.348063503862468
8,alpha_power,2.7180776739159054,0.03206388702353193,0.03104657468578753,0.34488468227283325,3.28241113985615
8,delta_power,0.36464635613160284,0.012209046327608587,0.001446722184817839,0.6456036370892623,0.6318385680274194
8,theta_power,0.6553497640958597,0.01412568364706662,0.011095022630568115,0.4425755212571646,1.0407787465896667
8,gamma_power,1.9006062251052418,0.007651263189100524,0.007644522520421391,0.43707223193139483,2.5619064076186024
9,beta_power,5.1865643745984205,0.06337848889504308,0.06303639808581132,0.2719496565896752,5.976111022772542
9,alpha_power,0.6472683620861857,0.02346850563932512,0.019606533893344963,0.45635515622268286,1.060320688466908
9,delta_power,1.641317577714101,0.02639502871065884,0.026349483838288987,0.4700848536666356,2.2189667990383284
9,theta_power,1.5565422710852337,0.013789027946759107,0.010111573836744575,0.4301978419371728,1.932785371517523
9,gamma_power,0.5594324527709107,0.0052895256919463975,0.004902932399601979,0.5279809944715175,1.0166071988280359
10,beta_power,2.3412685675231506,0.048702436582594905,0.0442541934918913,0.2848676872217206,2.947986181529059
10,alpha_power,1.612246468245013,0.022495517822370293,0.016136961420662607,0.4251958333280099,2.0081739342912175
10,delta_power,1.5234664346609141,0.02432859060986272,0.02341485755632254,0.48177538371142464,2.0558921264741636
10,theta_power,0.47335465230386,0.012840295724493068,0.009157119005700154,0.4589327007708794,0.8237109422834017
10,gamma_power,0.5310358846516747,0.0036984991720428184,0.0017122010618340934,0.5366345749488016,0.8506978956228275
11,beta_power,4.117528029148557,0.051864157215473466,0.04880767236846256,0.2616330221335841,4.763633233039833
11,alpha_power,1.949218354758956,0.030840445316340417,0.027372800011425016,0.33643553063274073,2.492018901172366
11,delta_power,1.6470633426939447,0.020459138208165292,0.017382476626690596,0.4404407669467234,2.0948069456451703
11,theta_power,1.587104008566128,0.015385039657445825,0.012356530892325274,0.3851641474354291,2.006895384966351
11,gamma_power,0.28932593994198597,0.0034922171251890563,0.0027505010275293874,0.6347808194796002,0.5911589530258423
12,beta_power,2.907599580144881,0.04683700557679639,0.04250953572540764,0.31101206011660976,3.491078318884019
12,alpha_power,1.6221777786016045,0.02497180578165932,0.020779507883390003,0.413847344406706,2.0616886119951947
12,delta_power,0.7013420337864044,0.023292620992509797,0.022426093057616447,0.49967791160264796,1.2110957653097292
12,theta_power,1.6144886754452816,0.01584384185288971,0.013471849128551178,0.3903390229586725,2.0467987849400675
12,gamma_power,0.3415438946116097,0.003250037202469718,0.0024221881717145684,0.6114524780478875,0.6224452493356394
